run_id,git_sha,method,env,n_agents,seed,total_steps,wall_time_s,peak_vram_mib,hardware,config,config_sha256,output_path,final_eval_mean,final_eval_std,timestamp
mappo_mpe_n6_baseline/seed_2,a4bfb07,mappo,mpe_simple_spread_v3,6,2,800000,3355.1457993984222,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_baseline.yaml,da1ccd85e0fcfc51,results/mappo_mpe_n6_baseline/seed_2,-219.72129368409514,47.35838087960909,2026-05-20T21:50:33
mappo_mpe_n6_baseline/seed_3,a4bfb07,mappo,mpe_simple_spread_v3,6,3,800000,3365.150454759598,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_baseline.yaml,da1ccd85e0fcfc51,results/mappo_mpe_n6_baseline/seed_3,-252.44748141244054,51.35129922283649,2026-05-20T21:50:43
mappo_mpe_n6_baseline/seed_4,a4bfb07,mappo,mpe_simple_spread_v3,6,4,800000,2950.107382297516,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_baseline.yaml,da1ccd85e0fcfc51,results/mappo_mpe_n6_baseline/seed_4,-214.77951706573367,42.97211436369562,2026-05-20T22:37:03
mappo_mpe_n6_dense/seed_0,a4bfb07,dense_attn,mpe_simple_spread_v3,6,0,800000,3365.1675939559937,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_dense.yaml,33559a5a18ab9b30,results/mappo_mpe_n6_dense/seed_0,-218.13455745205283,41.17218972858822,2026-05-20T21:57:37
mappo_mpe_n6_dense/seed_1,a4bfb07,dense_attn,mpe_simple_spread_v3,6,1,800000,3350.1605367660522,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_dense.yaml,33559a5a18ab9b30,results/mappo_mpe_n6_dense/seed_1,-208.69009280577302,39.7042017432016,2026-05-20T21:57:22
mappo_mpe_n6_dense/seed_2,a4bfb07,dense_attn,mpe_simple_spread_v3,6,2,800000,3310.1534292697906,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_dense.yaml,33559a5a18ab9b30,results/mappo_mpe_n6_dense/seed_2,-216.49519126862288,35.685119936055955,2026-05-20T21:56:42
mappo_mpe_n6_dense/seed_3,a4bfb07,dense_attn,mpe_simple_spread_v3,6,3,800000,3185.1116921901703,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_dense.yaml,33559a5a18ab9b30,results/mappo_mpe_n6_dense/seed_3,-209.9475351125002,38.08379530230361,2026-05-20T21:54:37
mappo_mpe_n6_dense/seed_4,a4bfb07,dense_attn,mpe_simple_spread_v3,6,4,800000,3035.1200437545776,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_dense.yaml,33559a5a18ab9b30,results/mappo_mpe_n6_dense/seed_4,-211.2861690632999,40.22889793203711,2026-05-20T22:45:12
mappo_mpe_n6_topk/seed_0,a4bfb07,topk_adaptive,mpe_simple_spread_v3,6,0,800000,3410.1536984443665,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_topk.yaml,116197949dd3b4f8,results/mappo_mpe_n6_topk/seed_0,-200.93606593832374,42.642346290511384,2026-05-20T21:58:25
mappo_mpe_n6_topk/seed_1,a4bfb07,topk_adaptive,mpe_simple_spread_v3,6,1,800000,3345.13045835495,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_topk.yaml,116197949dd3b4f8,results/mappo_mpe_n6_topk/seed_1,-259.10856745019555,42.083064970605676,2026-05-20T21:57:20
mappo_mpe_n6_topk/seed_2,a4bfb07,topk_adaptive,mpe_simple_spread_v3,6,2,800000,3455.13108587265,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_topk.yaml,116197949dd3b4f8,results/mappo_mpe_n6_topk/seed_2,-208.5121654085815,36.476645800569706,2026-05-20T21:59:10
mappo_mpe_n6_topk/seed_3,a4bfb07,topk_adaptive,mpe_simple_spread_v3,6,3,800000,3375.118222475052,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_topk.yaml,116197949dd3b4f8,results/mappo_mpe_n6_topk/seed_3,-222.99060691148043,43.33432631648092,2026-05-20T21:57:50
mappo_mpe_n6_topk/seed_4,a4bfb07,topk_adaptive,mpe_simple_spread_v3,6,4,800000,3385.1027698516846,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/mappo_mpe_n6_topk.yaml,116197949dd3b4f8,results/mappo_mpe_n6_topk/seed_4,-224.5500765182078,52.34362156860341,2026-05-20T22:53:46
pilot_dense_n3/seed_0,a4bfb07,dense_attn,mpe_simple_spread_v3,3,0,160000,340.40059876441956,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/pilot_dense_n3.yaml,,results/pilot_dense_n3/seed_0,-62.99205598514527,16.383624063558113,2026-05-20T13:21:06
pilot_dense_n3/seed_1,a4bfb07,dense_attn,mpe_simple_spread_v3,3,1,160000,254.43106389045715,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/pilot_dense_n3.yaml,,results/pilot_dense_n3/seed_1,-66.71346292784438,17.429787124106134,2026-05-20T13:25:21
pilot_dense_n3/seed_2,a4bfb07,dense_attn,mpe_simple_spread_v3,3,2,160000,281.15674328804016,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/pilot_dense_n3.yaml,,results/pilot_dense_n3/seed_2,-62.60214725509286,15.736184094707893,2026-05-20T13:30:02
pilot_topk_n3/seed_0,a4bfb07,topk_adaptive,mpe_simple_spread_v3,3,0,160000,360.0589487552643,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/pilot_topk_n3.yaml,,results/pilot_topk_n3/seed_0,-71.02588724996895,21.860719713776913,2026-05-20T13:21:23
pilot_topk_n3/seed_1,a4bfb07,topk_adaptive,mpe_simple_spread_v3,3,1,160000,365.048202753067,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/pilot_topk_n3.yaml,,results/pilot_topk_n3/seed_1,-66.64098871033639,16.7528544305508,2026-05-20T13:21:28
pilot_topk_n3/seed_2,a4bfb07,topk_adaptive,mpe_simple_spread_v3,3,2,160000,350.0291509628296,,"4x NVIDIA GeForce RTX 2080 Ti (11264 MiB, driver 575.57.08)",configs/pilot_topk_n3.yaml,,results/pilot_topk_n3/seed_2,-73.31438715942204,18.311969445880788,2026-05-20T13:21:13
